,hr0,hr0.25,hr0.5,hr1,hr2,hr4,hr8,hr12,hr24
AT1G51140,1.853758876,-0.085417917,1.23069695,-0.184949926,-0.945641896,-0.057911812,-1.227327122,0.17394493,-0.757152082
AT1G51270,0.131244341,-0.335501322,-0.723026882,-0.291340268,-0.028199098,-0.637889914,2.549774508,-0.589789966,-0.075271399
AT1G51640,1.426447174,0.135359106,-1.776894718,0.598404178,-0.199043575,-1.357411498,0.567406599,0.1547223,0.451010434
AT1G51800,-0.731206643,-0.132171777,-0.978282644,2.131644352,-0.663458391,1.143095686,-0.214616592,-0.278749432,-0.276254559
AT1G51820,-0.852075032,-0.174061632,-0.953508347,2.151059041,0.091364802,0.04481093,0.840004274,-0.981834247,-0.165759788
AT1G51830,1.54349474,-0.601871376,-1.926398197,0.347363511,0.744471242,-0.600886855,0.220125856,-0.322763122,0.5964642
AT1G51840,1.040449365,0.052992098,-2.313979499,0.541233459,0.275839508,-0.534559517,0.260216355,-0.212438028,0.890246258
AT1G52200,-0.958311925,-0.747020543,-1.302061039,1.21305972,-0.422359435,1.156418568,1.278309198,-0.411660956,0.193626412
AT1G52890,-0.681980541,-0.601143504,0.185621026,-0.774524626,0.404247046,0.099340598,2.390718358,-0.763963678,-0.25831468
AT1G53170,-0.371755955,-0.780402514,1.093148612,-1.16463982,-0.009474812,-0.952878343,1.939831942,0.129966677,0.116204212
AT1G54120,0.464577297,-1.644842656,-0.913383374,-0.900875312,0.123037309,1.214695655,0.071651775,1.375975196,0.209164111
AT1G55110,-0.786363139,-0.79307725,0.545213623,-1.027751223,0.142241141,0.064348216,2.294811081,-0.297344461,-0.142077989
AT1G56510,-1.474332112,-0.582221142,-0.852151356,0.372222938,0.412577346,1.940943629,0.343635409,0.446054039,-0.606728752
AT1G56650,-1.10516399,-0.87431317,-0.998775894,-0.214913157,0.446963728,2.114378962,0.458724929,0.279762899,-0.106664307
AT1G57560,1.52812322,-0.381952651,-0.992619421,0.415338793,0.175132251,0.310668854,-1.953414423,0.364846108,0.533877269
AT1G58100,-0.329932879,-0.674870557,-0.92768725,-1.025431162,1.263401186,-0.630839917,1.845514476,0.175154449,0.304691654
AT1G58460,-0.779656593,-0.270863587,-0.872819916,1.436378007,-0.594365743,1.515290248,-0.919811373,0.906369801,-0.420520844
AT1G59640,0.227295725,0.701563733,1.52739593,1.070536122,-0.915760675,0.106427298,-1.491527207,-0.338094623,-0.887836303
AT1G60270,-0.800848829,-0.421486667,-0.804963424,1.472139006,-0.296808692,1.958019006,-0.302702575,-0.28005107,-0.523296756
AT1G61840,-0.386619894,1.111623618,0.045666005,2.168657526,-0.708617942,-0.608722797,-0.865189211,-0.346376323,-0.410420982
AT1G61890,-0.615492528,1.080443187,0.22454804,2.102746146,-0.665285198,0.009555228,-0.6339274,-0.686470559,-0.816116915
AT1G62030,-1.285895243,1.284828266,0.775173335,1.341003943,-0.704854537,0.215370637,0.023440034,-0.381227141,-1.267839295
AT1G62975,-0.65140928,0.107303385,-0.342072396,1.650055294,-0.726661022,1.762988255,-0.636053482,-0.526827811,-0.637322944
AT1G63100,2.043648955,-0.475933237,0.187402463,-0.877149536,-0.30905471,-0.099472215,-1.418413594,0.139153979,0.809817894
AT1G63600,1.969761063,0.679964478,0.78103202,-0.122250164,-1.103339203,-0.423218097,-1.145121408,-0.071246221,-0.565582468
AT1G63650,-0.359451601,-1.084511707,-0.177834722,-0.500958749,-0.058741214,1.919786529,-1.108594358,1.21201282,0.158293003
AT1G64000,1.869556151,0.283256715,-0.709878485,0.78695191,-0.938093937,-0.00111889,-0.439483804,0.54029213,-1.391481791
AT1G64405,0.709930342,-0.097830372,-1.310874181,2.11389214,-0.479098823,0.304900184,-0.880123535,-0.442402648,0.081606893
AT1G64500,-0.876523884,0.229658256,-0.250326649,2.280421408,-0.558547295,0.802302056,-0.496491769,-0.371850393,-0.75864173
AT1G64530,-0.56750976,1.033148792,-0.55014505,1.997325476,-0.813701693,0.355831601,-1.224522106,-0.07140558,-0.15902168
AT1G64780,-1.118469553,-0.952845294,-1.123646328,1.066615063,0.231417129,1.823555159,-0.114144485,0.218949234,-0.031430925
AT1G65390,-0.894387528,0.854022927,-0.446173037,2.318785747,-0.507182302,0.009814124,-0.565506818,-0.280325612,-0.4890475
AT1G65620,-0.540082378,-0.63152267,0.317831232,0.295887896,-0.755112383,2.247061582,-0.701469502,0.584536168,-0.817129943
AT1G66100,-0.708103372,-0.68995946,-0.705001767,-0.356372134,0.221079472,0.475380338,2.421218156,-0.179594281,-0.478646951
AT1G66160,-0.613885009,1.853111576,1.50524338,0.115024943,-0.714891266,-0.788357238,-0.13238397,-0.686471581,-0.537390834
AT1G66230,1.592777372,-0.285956765,-0.231320344,1.26454688,-0.697669819,0.728437805,-1.128613888,-0.044023945,-1.198177296
AT1G66330,-0.724876981,-0.008059367,-0.535539848,2.220181588,-0.349624951,1.074424337,-0.41000896,-0.556629525,-0.709866295
AT1G66600,-1.544478393,-0.254897867,-0.457438059,0.146103184,0.033743167,-0.402358527,2.136186452,0.688204207,-0.345064165
AT1G66725,-0.641846124,0.3504572,-0.511637364,2.447868861,-0.504681146,0.399072755,-0.464415138,-0.492038722,-0.582780322
